timestamp,service,message,attack_type,predicted_attack_type
28012025 17:04:34,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 17:04:35,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:36,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:36,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:37,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:37,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:37,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:38,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:39,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:39,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:40,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:40,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:40,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 17:04:41,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:41,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 17:04:42,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 17:04:42,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:04:42,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 17:04:43,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 17:14:21,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 17:14:22,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:16:01,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 17:40:43,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 17:51:36,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:51:37,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:51:37,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:51:38,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:51:39,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:51:39,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:51:40,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:51:40,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:51:40,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:51:41,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 17:58:42,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 17:59:50,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 18:11:00,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 18:32:42,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 18:34:28,SMB,/dionaea/smb/smb.py:107: === not really SMB,Other Attack,Other Attack
28012025 18:36:49,SMB,/dionaea/smb/smb.py:127: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
28012025 18:36:49,SMB,/dionaea/smb/smb.py:157: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
28012025 18:49:29,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 19:19:11,ftp,/dionaea/ftp.py:235: cmd 'b'AUTH'',FTP Attack,FTP Attack
28012025 19:19:11,ftp,/dionaea/ftp.py:235: cmd 'b'AUTH'',FTP Attack,FTP Attack
28012025 19:21:45,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 19:29:33,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
