timestamp,service,message,attack_type,predicted_attack_type
29012025 05:23:46,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 05:27:55,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 05:29:39,SMB,/dionaea/smb/smb.py:127: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
29012025 05:29:39,SMB,/dionaea/smb/smb.py:157: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
29012025 05:31:39,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 05:31:40,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
29012025 05:45:58,SMB,/dionaea/smb/smb.py:107: === not really SMB,Other Attack,Other Attack
29012025 05:46:00,SMB,/dionaea/smb/smb.py:90: Traceback (most recent call last):,Other Attack,Other Attack
29012025 05:48:29,ftp,/dionaea/ftp.py:235: cmd 'b'AUTH'',FTP Attack,FTP Attack
29012025 05:48:29,ftp,/dionaea/ftp.py:235: cmd 'b'AUTH'',FTP Attack,FTP Attack
